image,experiment,source,source_param,channel_code,channel_param,channel,channel_p,psnr_db,mse,accuracy_exact,accuracy_tol5,ber_raw,ber_decoded,n_info_bits,n_tx_bits,code_rate,compression_ratio,encode_ms,decode_ms
gradient,bsc_sweep,dct,60,repetition,3,bsc,0.003,29.456020112940323,73.70184326171875,0.53692626953125,0.98333740234375,0.003086513917279393,3.813649815419349e-05,131108,393324,0.3333333333333333,0.9997254172132898,8.556600000247272,10.41220000024623
gradient,bsc_sweep,dct,60,repetition,3,bsc,0.01,19.15329542051808,790.22509765625,0.47674560546875,0.88836669921875,0.010032441447763166,0.0002669554870793544,131108,393324,0.3333333333333333,0.9997254172132898,11.754999999993743,12.798799999927724
gradient,bsc_sweep,dct,60,repetition,3,bsc,0.03,10.092222751035017,6365.874694824219,0.14471435546875,0.32440185546875,0.029652398531490577,0.002372090185190835,131108,393324,0.3333333333333333,0.9997254172132898,8.321499999965454,10.317100000065693
gradient,bsc_sweep,dct,60,repetition,3,bsc,0.1,5.774113281828895,17205.568725585938,0.0003662109375,0.0062255859375,0.10051509696840263,0.027557433566220216,131108,393324,0.3333333333333333,0.9997254172132898,12.102000000140833,13.342199999897275
gradient,bsc_sweep,dct,60,repetition,5,bsc,0.0,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.0,0.0,131108,655540,0.2,0.9997254172132898,11.3298000001123,13.001100000110455
gradient,bsc_sweep,dct,60,repetition,5,bsc,0.001,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.0010403636696463983,0.0,131108,655540,0.2,0.9997254172132898,10.756099999980506,13.543200000185607
gradient,bsc_sweep,dct,60,repetition,5,bsc,0.003,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.003105836409677518,0.0,131108,655540,0.2,0.9997254172132898,10.035700000116776,13.27209999999468
gradient,bsc_sweep,dct,60,repetition,5,bsc,0.01,28.108359713715586,100.51812744140625,0.54388427734375,0.9921875,0.010061933673002411,1.5254599261677395e-05,131108,655540,0.2,0.9997254172132898,12.43109999995795,11.973699999998644
gradient,bsc_sweep,dct,60,repetition,5,bsc,0.03,19.589663257635614,714.6839599609375,0.4820556640625,0.90802001953125,0.02988833633340452,0.00022881898892516093,131108,655540,0.2,0.9997254172132898,11.309200000141573,13.7776000001395
gradient,bsc_sweep,dct,60,repetition,5,bsc,0.1,6.873661342751005,13357.163024902344,0.0108642578125,0.04345703125,0.10030966836501205,0.008184092503889923,131108,655540,0.2,0.9997254172132898,14.259600000059436,9.22949999994671
